LEAID,CENSUSID,FIPST,FIPSCO,CMSA,STNAME,STABBR,SCHLEV,TOTALREV,TFEDREV,TSTREV,TLOCREV,TOTALEXP,TCURELSC,TCURINST,TCURSSVC,TCUROTH,TNONELSE,TCAPOUT,TotalSalaries,TotalEmployeeBenefits
904620,7500580200000,9,9,708880,CONNECTICUT,CT,1,17865000.0,168000.0,8680000.0,9017000.0,16991000.0,12362000.0,7722000.0,4214000.0,426000.0,8000.0,148000.0,7702000.0,2126000.0
905040,7500620300000,9,11,5520,CONNECTICUT,CT,7,10501000.0,998000.0,4397000.0,5106000.0,512000.0,0.0,0.0,0.0,0.0,0.0,183000.0,0.0,0.0
900690,7500870100000,9,15,3280,CONNECTICUT,CT,2,4278000.0,106000.0,328000.0,3844000.0,4177000.0,3868000.0,2337000.0,1413000.0,118000.0,0.0,53000.0,2292000.0,470000.0
901260,8500100200000,10,1,2190,DELAWARE,DE,3,56408000.0,5376000.0,41877000.0,9155000.0,47357000.0,41419000.0,26201000.0,13480000.0,1738000.0,48000.0,4659000.0,24747000.0,8642000.0
901620,8500250700000,10,3,779160,DELAWARE,DE,3,25932000.0,1120000.0,18554000.0,6258000.0,31203000.0,22349000.0,13588000.0,7919000.0,842000.0,392000.0,7200000.0,12600000.0,3933000.0
901680,8500260200000,10,3,779160,DELAWARE,DE,3,92078000.0,3822000.0,53559000.0,34697000.0,104160000.0,81882000.0,51449000.0,27580000.0,2853000.0,213000.0,20297000.0,51117000.0,16458000.0
902310,8500260400000,10,3,779160,DELAWARE,DE,3,77630000.0,4165000.0,47267000.0,26198000.0,73540000.0,69086000.0,44908000.0,21264000.0,2914000.0,157000.0,2087000.0,43712000.0,14680000.0
902880,8500280100000,10,3,779160,DELAWARE,DE,5,40761000.0,2052000.0,24509000.0,14200000.0,40824000.0,36317000.0,20597000.0,14972000.0,748000.0,2305000.0,2202000.0,20676000.0,6967000.0
904230,8500300500000,10,5,0,DELAWARE,DE,3,32519000.0,1506000.0,19931000.0,11082000.0,32652000.0,30006000.0,18254000.0,10215000.0,1537000.0,53000.0,975000.0,18601000.0,6260000.0
904470,8500350300000,10,5,0,DELAWARE,DE,3,12668000.0,1109000.0,8985000.0,2574000.0,13701000.0,11168000.0,6131000.0,4283000.0,754000.0,4000.0,1598000.0,6628000.0,2136000.0
904920,8500350700000,10,5,0,DELAWARE,DE,2,5427000.0,267000.0,3939000.0,1221000.0,5227000.0,4726000.0,2886000.0,1543000.0,297000.0,7000.0,95000.0,2841000.0,953000.0
902850,10500900100000,12,17,0,FLORIDA,FL,3,86441000.0,5073000.0,35757000.0,45611000.0,86959000.0,72820000.0,40336000.0,29299000.0,3185000.0,2098000.0,11953000.0,48297000.0,14487000.0
904020,10501400100000,12,27,0,FLORIDA,FL,3,27892000.0,3115000.0,17542000.0,7235000.0,26946000.0,24360000.0,13804000.0,8971000.0,1585000.0,1081000.0,1313000.0,15137000.0,5348000.0
904500,10501500100000,12,29,0,FLORIDA,FL,3,13782000.0,1394000.0,9822000.0,2566000.0,13546000.0,12531000.0,6681000.0,4911000.0,939000.0,93000.0,879000.0,7773000.0,2567000.0
905160,10501700100000,12,33,6080,FLORIDA,FL,3,265576000.0,26775000.0,167911000.0,70890000.0,265860000.0,232412000.0,127986000.0,90168000.0,14258000.0,4385000.0,23948000.0,138884000.0,52884000.0
901200,10502200100000,12,43,0,FLORIDA,FL,3,7072000.0,610000.0,3365000.0,3097000.0,7370000.0,6117000.0,3321000.0,2483000.0,313000.0,86000.0,1162000.0,3445000.0,1121000.0
