LEAID,CENSUSID,FIPST,FIPSCO,CMSA,STNAME,STABBR,SCHLEV,AGCHRT,TOTALREV,TFEDREV,TSTREV,TLOCREV,TOTALEXP,TCURELSC,TCURINST,TCURSSVC,TCUROTH,TNONELSE,TCAPOUT,TotalSalaries,TotalEmployeeBenefits
2103690,18504000100000,21,79,0,KENTUCKY,KY,3,3,14419000.0,1357000.0,9604000.0,3458000.0,14141000.0,12806000.0,8037000.0,3906000.0,863000.0,227000.0,514000.0,8511000.0,1984000.0
2103720,18500500300000,21,9,0,KENTUCKY,KY,3,3,12751000.0,996000.0,7844000.0,3911000.0,12541000.0,11831000.0,7529000.0,3539000.0,763000.0,14000.0,395000.0,8116000.0,1878000.0
2103810,18504300100000,21,85,0,KENTUCKY,KY,3,3,24536000.0,2319000.0,17446000.0,4771000.0,24390000.0,21390000.0,13726000.0,6350000.0,1314000.0,539000.0,1894000.0,14465000.0,3305000.0
2103960,18504700200000,21,93,0,KENTUCKY,KY,3,3,83842000.0,7034000.0,55922000.0,20886000.0,83929000.0,72735000.0,45261000.0,22758000.0,4716000.0,1047000.0,9448000.0,50102000.0,11597000.0
2104020,18504800100000,21,95,0,KENTUCKY,KY,3,3,37173000.0,5352000.0,26372000.0,5449000.0,37442000.0,31433000.0,19939000.0,9300000.0,2194000.0,676000.0,4693000.0,20887000.0,5210000.0
2104050,18504900200000,21,97,0,KENTUCKY,KY,3,3,20327000.0,1938000.0,14203000.0,4186000.0,21273000.0,18047000.0,11306000.0,5538000.0,1203000.0,866000.0,1818000.0,11734000.0,2649000.0
2104080,18508400200000,21,167,0,KENTUCKY,KY,3,3,6754000.0,660000.0,4682000.0,1412000.0,6524000.0,5933000.0,3671000.0,1874000.0,388000.0,91000.0,345000.0,3914000.0,907000.0
2104200,18505200200000,21,103,0,KENTUCKY,KY,3,3,13355000.0,1117000.0,8897000.0,3341000.0,13350000.0,12129000.0,6997000.0,4279000.0,853000.0,178000.0,701000.0,7877000.0,1791000.0
2104290,18501300200000,21,25,0,KENTUCKY,KY,3,3,2694000.0,286000.0,2132000.0,276000.0,2609000.0,2338000.0,1479000.0,731000.0,128000.0,48000.0,125000.0,1477000.0,337000.0
2104410,18505600200000,21,111,4520,KENTUCKY,KY,3,3,719131000.0,67749000.0,333430000.0,317952000.0,758643000.0,657495000.0,384085000.0,246219000.0,27191000.0,0.0,82921000.0,453715000.0,108463000.0
2104440,18506700100000,21,133,0,KENTUCKY,KY,3,3,4490000.0,692000.0,3000000.0,798000.0,4417000.0,3963000.0,2234000.0,1318000.0,411000.0,78000.0,299000.0,2565000.0,590000.0
2104500,18505800100000,21,115,0,KENTUCKY,KY,3,3,26871000.0,3429000.0,19141000.0,4301000.0,26429000.0,22225000.0,14344000.0,6473000.0,1408000.0,690000.0,2808000.0,15137000.0,3555000.0
2104590,18506100200000,21,121,0,KENTUCKY,KY,3,3,33284000.0,5004000.0,23879000.0,4401000.0,33498000.0,28937000.0,17796000.0,9211000.0,1930000.0,711000.0,3123000.0,19252000.0,4857000.0
2104650,18506300200000,21,125,0,KENTUCKY,KY,3,3,51892000.0,5809000.0,35223000.0,10860000.0,56251000.0,46598000.0,28362000.0,15322000.0,2914000.0,927000.0,7136000.0,31269000.0,7294000.0
2104710,18506500100000,21,129,0,KENTUCKY,KY,3,3,9367000.0,1291000.0,6867000.0,1209000.0,9233000.0,8579000.0,4756000.0,3301000.0,522000.0,175000.0,358000.0,5628000.0,1295000.0
2104770,18506700200000,21,133,0,KENTUCKY,KY,3,3,26785000.0,3835000.0,18512000.0,4438000.0,25724000.0,23617000.0,14399000.0,8120000.0,1098000.0,378000.0,1495000.0,16092000.0,3952000.0
2104800,18506800100000,21,135,0,KENTUCKY,KY,3,3,15651000.0,2136000.0,11487000.0,2028000.0,17378000.0,14093000.0,8461000.0,4621000.0,1011000.0,238000.0,2842000.0,9182000.0,2217000.0
2104890,18507100100000,21,141,0,KENTUCKY,KY,3,3,21176000.0,1946000.0,14272000.0,4958000.0,19489000.0,17035000.0,10682000.0,5222000.0,1131000.0,163000.0,1831000.0,11542000.0,2600000.0
2104950,18507200100000,21,143,0,KENTUCKY,KY,3,3,6037000.0,665000.0,3116000.0,2256000.0,5900000.0,5231000.0,3214000.0,1723000.0,294000.0,69000.0,408000.0,3491000.0,793000.0
2105070,18507800200000,21,155,0,KENTUCKY,KY,3,3,19974000.0,2237000.0,13082000.0,4655000.0,21889000.0,17706000.0,11431000.0,5049000.0,1226000.0,240000.0,3566000.0,12108000.0,2878000.0
2105160,18508100100000,21,161,0,KENTUCKY,KY,3,3,17856000.0,1677000.0,11190000.0,4989000.0,17664000.0,16858000.0,11272000.0,4808000.0,778000.0,130000.0,385000.0,11993000.0,2656000.0
2105320,18507500200000,21,149,0,KENTUCKY,KY,3,3,10060000.0,921000.0,6920000.0,2219000.0,10821000.0,9001000.0,5089000.0,3331000.0,581000.0,212000.0,1313000.0,5930000.0,1334000.0
2105400,18508300100000,21,165,0,KENTUCKY,KY,3,3,7580000.0,980000.0,5743000.0,857000.0,7909000.0,7031000.0,4546000.0,2048000.0,437000.0,101000.0,584000.0,4812000.0,1108000.0
2105460,18508500100000,21,169,0,KENTUCKY,KY,3,3,10952000.0,1389000.0,7542000.0,2021000.0,11801000.0,9625000.0,5318000.0,3680000.0,627000.0,120000.0,1762000.0,5924000.0,1386000.0
2105490,18500700300000,21,13,0,KENTUCKY,KY,3,3,11659000.0,1517000.0,7597000.0,2545000.0,11148000.0,10017000.0,6354000.0,2955000.0,708000.0,289000.0,536000.0,6779000.0,1526000.0
2105520,18508600100000,21,171,0,KENTUCKY,KY,3,3,13652000.0,1588000.0,9680000.0,2384000.0,13140000.0,12069000.0,6892000.0,4319000.0,858000.0,373000.0,461000.0,8227000.0,1910000.0
2105550,18508700100000,21,173,0,KENTUCKY,KY,3,3,25318000.0,2636000.0,17043000.0,5639000.0,25722000.0,22723000.0,14625000.0,6798000.0,1300000.0,517000.0,1858000.0,15051000.0,3543000.0
2105640,18501800200000,21,35,0,KENTUCKY,KY,3,3,13412000.0,4170000.0,5851000.0,3391000.0,12736000.0,12144000.0,9283000.0,2365000.0,496000.0,169000.0,352000.0,7389000.0,1949000.0
2105730,18501900600000,21,37,211640,KENTUCKY,KY,3,3,21080000.0,2481000.0,13304000.0,5295000.0,19701000.0,18085000.0,12347000.0,4800000.0,938000.0,386000.0,695000.0,12403000.0,2866000.0
2105790,18509200100000,21,183,0,KENTUCKY,KY,3,3,26729000.0,2253000.0,19389000.0,5087000.0,27987000.0,22225000.0,13153000.0,7847000.0,1225000.0,661000.0,4569000.0,14626000.0,3402000.0
2105880,18503000200000,21,59,5990,KENTUCKY,KY,3,3,33828000.0,4690000.0,18313000.0,10825000.0,35245000.0,29643000.0,16842000.0,11054000.0,1747000.0,828000.0,4313000.0,20308000.0,4980000.0
2105910,18509500100000,21,189,0,KENTUCKY,KY,3,3,7869000.0,1985000.0,5107000.0,777000.0,7327000.0,6656000.0,4027000.0,2105000.0,524000.0,265000.0,238000.0,4236000.0,1048000.0
2105970,18505800200000,21,115,0,KENTUCKY,KY,3,3,5206000.0,301000.0,2997000.0,1908000.0,4778000.0,4453000.0,2895000.0,1404000.0,154000.0,26000.0,208000.0,3087000.0,723000.0
2106000,18500900200000,21,17,4280,KENTUCKY,KY,3,3,5512000.0,752000.0,3203000.0,1557000.0,6165000.0,5071000.0,3016000.0,1757000.0,298000.0,147000.0,826000.0,3378000.0,824000.0
2200030,18509600200000,21,191,211640,KENTUCKY,KY,3,3,18040000.0,1494000.0,12941000.0,3605000.0,19432000.0,14935000.0,9352000.0,4708000.0,875000.0,246000.0,3665000.0,9993000.0,2430000.0
2200090,18509800100000,21,195,0,KENTUCKY,KY,3,3,74032000.0,8539000.0,48328000.0,17165000.0,77815000.0,67198000.0,39337000.0,24466000.0,3395000.0,1385000.0,8455000.0,43203000.0,13870000.0
2200120,18509800200000,21,195,0,KENTUCKY,KY,3,3,9066000.0,777000.0,4718000.0,3571000.0,9536000.0,7808000.0,4966000.0,2403000.0,439000.0,108000.0,1456000.0,5234000.0,1336000.0
2200150,18500700400000,21,13,0,KENTUCKY,KY,3,3,4275000.0,561000.0,3250000.0,464000.0,4173000.0,3828000.0,2287000.0,1263000.0,278000.0,105000.0,157000.0,2455000.0,595000.0
2200180,18509900100000,21,197,0,KENTUCKY,KY,3,3,17506000.0,2108000.0,13144000.0,2254000.0,16413000.0,15289000.0,9477000.0,4903000.0,909000.0,268000.0,519000.0,10127000.0,2307000.0
2200210,18511700100000,21,233,0,KENTUCKY,KY,3,3,3710000.0,797000.0,2477000.0,436000.0,3660000.0,3076000.0,2067000.0,850000.0,159000.0,58000.0,450000.0,2025000.0,458000.0
2200240,18510000200000,21,199,0,KENTUCKY,KY,3,3,48324000.0,5505000.0,32755000.0,10064000.0,48335000.0,42970000.0,27027000.0,13510000.0,2433000.0,1020000.0,2904000.0,28164000.0,6638000.0
2200270,18504500300000,21,89,3400,KENTUCKY,KY,3,3,5866000.0,346000.0,4107000.0,1413000.0,5708000.0,4970000.0,2887000.0,1865000.0,218000.0,0.0,625000.0,3403000.0,723000.0
2200300,18510100100000,21,201,0,KENTUCKY,KY,3,3,2610000.0,294000.0,1835000.0,481000.0,2928000.0,2339000.0,1442000.0,750000.0,147000.0,37000.0,511000.0,1584000.0,374000.0
2200330,18510200200000,21,203,0,KENTUCKY,KY,3,3,19245000.0,2380000.0,14244000.0,2621000.0,19023000.0,17205000.0,10478000.0,5736000.0,991000.0,309000.0,887000.0,11551000.0,2649000.0
2200420,18510400100000,21,207,0,KENTUCKY,KY,3,3,18803000.0,2172000.0,13137000.0,3494000.0,18307000.0,15336000.0,9320000.0,5078000.0,938000.0,360000.0,2352000.0,10473000.0,2366000.0
2200450,18507100200000,21,141,0,KENTUCKY,KY,3,3,9182000.0,849000.0,6218000.0,2115000.0,8943000.0,8369000.0,4661000.0,3277000.0,431000.0,160000.0,185000.0,5212000.0,1229000.0
2200480,18510000300000,21,199,0,KENTUCKY,KY,1,3,2478000.0,160000.0,1989000.0,329000.0,2447000.0,2222000.0,1480000.0,597000.0,145000.0,0.0,120000.0,1539000.0,361000.0
2200510,18510500200000,21,209,4280,KENTUCKY,KY,3,3,38562000.0,2708000.0,20962000.0,14892000.0,42285000.0,34144000.0,21824000.0,10752000.0,1568000.0,599000.0,5940000.0,23983000.0,5472000.0
2200540,18510600100000,21,211,0,KENTUCKY,KY,3,3,31858000.0,1941000.0,17192000.0,12725000.0,40158000.0,25480000.0,15384000.0,8298000.0,1798000.0,292000.0,13128000.0,17725000.0,3988000.0
2200570,18501900700000,21,37,211640,KENTUCKY,KY,3,3,2087000.0,150000.0,1458000.0,479000.0,2008000.0,1890000.0,1167000.0,613000.0,110000.0,0.0,101000.0,1198000.0,261000.0
2200600,18510700100000,21,213,0,KENTUCKY,KY,3,3,17928000.0,1978000.0,11053000.0,4897000.0,17150000.0,15647000.0,10254000.0,4566000.0,827000.0,378000.0,823000.0,10393000.0,2548000.0
2200630,18510000400000,21,199,0,KENTUCKY,KY,3,3,10406000.0,851000.0,6337000.0,3218000.0,10611000.0,9180000.0,6122000.0,2618000.0,440000.0,168000.0,951000.0,6239000.0,1522000.0
2200720,18510900200000,21,217,0,KENTUCKY,KY,3,3,16214000.0,1667000.0,11116000.0,3431000.0,19050000.0,13726000.0,8622000.0,4403000.0,701000.0,131000.0,4775000.0,9518000.0,2178000.0
2200750,18511000100000,21,219,0,KENTUCKY,KY,3,3,13587000.0,1408000.0,9469000.0,2710000.0,15118000.0,10847000.0,6192000.0,3927000.0,728000.0,155000.0,3491000.0,7167000.0,1639000.0
2200780,18511100100000,21,221,0,KENTUCKY,KY,3,3,13688000.0,1099000.0,8237000.0,4352000.0,16782000.0,11265000.0,6809000.0,3865000.0,591000.0,155000.0,4858000.0,7600000.0,1813000.0
2200810,18511200100000,21,223,0,KENTUCKY,KY,3,3,9164000.0,1154000.0,5570000.0,2440000.0,7988000.0,7510000.0,4821000.0,2207000.0,482000.0,95000.0,276000.0,5033000.0,1173000.0
2200840,18511300100000,21,225,0,KENTUCKY,KY,3,3,17990000.0,1630000.0,12219000.0,4141000.0,19934000.0,16328000.0,10440000.0,5118000.0,770000.0,215000.0,3042000.0,11247000.0,2690000.0
2200870,18500800200000,21,15,211640,KENTUCKY,KY,3,3,7321000.0,380000.0,4122000.0,2819000.0,7421000.0,6307000.0,3786000.0,2217000.0,304000.0,0.0,979000.0,4207000.0,957000.0
2200900,18511400200000,21,227,0,KENTUCKY,KY,3,3,65381000.0,4951000.0,38724000.0,21706000.0,66544000.0,56875000.0,36356000.0,16852000.0,3667000.0,542000.0,7449000.0,38250000.0,8965000.0
2200960,18511500200000,21,229,0,KENTUCKY,KY,3,3,12253000.0,1122000.0,8271000.0,2860000.0,13073000.0,10028000.0,6248000.0,3132000.0,648000.0,90000.0,2621000.0,6496000.0,1488000.0
2200990,18511600200000,21,231,0,KENTUCKY,KY,3,3,18794000.0,2723000.0,13286000.0,2785000.0,19701000.0,16873000.0,10106000.0,5817000.0,950000.0,255000.0,2103000.0,11534000.0,2752000.0
