LEAID,CENSUSID,FIPST,FIPSCO,CMSA,STNAME,STABBR,SCHLEV,AGCHRT,TOTALREV,TFEDREV,TSTREV,TLOCREV,TOTALEXP,TCURELSC,TCURINST,TCURSSVC,TCUROTH,TNONELSE,TCAPOUT,TotalSalaries,TotalEmployeeBenefits
1303000,7300202630100,9,3,3280,CONNECTICUT,CT,3,3,18409000.0,412000.0,2965000.0,15032000.0,17431000.0,15884000.0,10487000.0,5121000.0,276000.0,40000.0,172000.0,11024000.0,1993000.0
1303030,7300502030100,9,9,5480,CONNECTICUT,CT,3,3,24410000.0,476000.0,11466000.0,12468000.0,23944000.0,22132000.0,15298000.0,5824000.0,1010000.0,10000.0,1251000.0,14416000.0,3806000.0
1303060,7300502130100,9,9,5480,CONNECTICUT,CT,1,3,8925000.0,100000.0,954000.0,7871000.0,8403000.0,7669000.0,5581000.0,2088000.0,0.0,0.0,93000.0,5141000.0,1346000.0
1303120,7500320100000,9,5,0,CONNECTICUT,CT,7,3,209000.0,209000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1303300,8500100200000,10,1,2190,DELAWARE,DE,3,3,48830000.0,5143000.0,33912000.0,9775000.0,48720000.0,44485000.0,27761000.0,14791000.0,1933000.0,46000.0,2895000.0,26992000.0,8740000.0
1303360,8500260400000,10,3,779160,DELAWARE,DE,3,3,89948000.0,5067000.0,51899000.0,32982000.0,81708000.0,72687000.0,49820000.0,19711000.0,3156000.0,146000.0,4529000.0,46386000.0,15072000.0
1303450,8500170100000,10,1,2190,DELAWARE,DE,5,3,14164000.0,1079000.0,9832000.0,3253000.0,15126000.0,11208000.0,6009000.0,4645000.0,554000.0,2257000.0,1576000.0,6277000.0,1985000.0
1303510,8500300200000,10,5,0,DELAWARE,DE,3,3,15956000.0,1506000.0,11844000.0,2606000.0,15200000.0,14248000.0,8245000.0,5301000.0,702000.0,6000.0,660000.0,8369000.0,2635000.0
1303630,8500260500000,10,3,779160,DELAWARE,DE,3,3,154985000.0,7131000.0,92814000.0,55040000.0,132803000.0,125551000.0,80846000.0,40589000.0,4116000.0,552000.0,5287000.0,70777000.0,22829000.0
1303690,8500100400000,10,1,2190,DELAWARE,DE,3,3,23208000.0,1266000.0,18313000.0,3629000.0,22610000.0,21606000.0,12992000.0,7523000.0,1091000.0,15000.0,476000.0,13496000.0,4015000.0
1303780,9200100130100,11,1,978840,DISTRICT OF COLUMBIA,DC,3,3,758072000.0,122970000.0,0.0,635102000.0,738942000.0,693386000.0,314138000.0,351290000.0,27958000.0,1783000.0,43773000.0,398921000.0,59084000.0
1303870,10500200100000,12,3,0,FLORIDA,FL,3,3,29585000.0,1875000.0,22856000.0,4854000.0,26998000.0,24635000.0,12929000.0,10288000.0,1418000.0,505000.0,1740000.0,15362000.0,5048000.0
1303960,10500400100000,12,7,0,FLORIDA,FL,3,3,27875000.0,2059000.0,19194000.0,6622000.0,25444000.0,22177000.0,12384000.0,8531000.0,1262000.0,906000.0,2273000.0,14286000.0,4448000.0
1304020,10500600100000,12,11,562680,FLORIDA,FL,3,2,1616902000.0,103898000.0,823238000.0,689766000.0,1603291000.0,1306137000.0,721832000.0,530907000.0,53398000.0,64371000.0,198296000.0,837784000.0,269804000.0
1304110,10500900100000,12,17,0,FLORIDA,FL,3,3,107666000.0,6774000.0,52457000.0,48435000.0,96001000.0,84187000.0,46038000.0,34294000.0,3855000.0,2110000.0,9421000.0,54524000.0,15776000.0
1304260,10501400100000,12,27,0,FLORIDA,FL,3,3,31368000.0,3679000.0,19254000.0,8435000.0,29317000.0,25702000.0,14791000.0,9284000.0,1627000.0,866000.0,2529000.0,15775000.0,5546000.0
1304320,10501600100000,12,31,3600,FLORIDA,FL,3,2,850191000.0,63231000.0,483191000.0,303769000.0,760249000.0,667703000.0,390728000.0,243119000.0,33856000.0,7347000.0,74395000.0,387985000.0,129372000.0
1304380,10501800100000,12,35,2020,FLORIDA,FL,3,3,53096000.0,2803000.0,18957000.0,31336000.0,59836000.0,37006000.0,18915000.0,16466000.0,1625000.0,5446000.0,15401000.0,23364000.0,7942000.0
1304410,10501900100000,12,37,0,FLORIDA,FL,3,3,10523000.0,1070000.0,3933000.0,5520000.0,10206000.0,9310000.0,5501000.0,3327000.0,482000.0,52000.0,809000.0,5380000.0,2036000.0
1304440,10502000100000,12,39,8240,FLORIDA,FL,3,2,54381000.0,9334000.0,36691000.0,8356000.0,52709000.0,47333000.0,25551000.0,18367000.0,3415000.0,1479000.0,3752000.0,29392000.0,9434000.0
1304500,10502200100000,12,43,0,FLORIDA,FL,3,3,8455000.0,1018000.0,3853000.0,3584000.0,8384000.0,6798000.0,3693000.0,2690000.0,415000.0,0.0,1586000.0,3741000.0,1156000.0
1304530,10502300100000,12,45,0,FLORIDA,FL,3,3,16823000.0,1845000.0,9523000.0,5455000.0,18032000.0,13644000.0,7611000.0,5306000.0,727000.0,176000.0,3969000.0,8382000.0,2803000.0
1304540,10502400100000,12,47,0,FLORIDA,FL,3,3,18021000.0,3036000.0,9204000.0,5781000.0,16873000.0,14029000.0,6685000.0,6445000.0,899000.0,639000.0,2171000.0,8863000.0,2745000.0
1304590,10502600100000,12,51,0,FLORIDA,FL,3,3,47450000.0,5966000.0,27233000.0,14251000.0,47882000.0,41769000.0,22501000.0,16466000.0,2802000.0,254000.0,5299000.0,23956000.0,8612000.0
1304860,10503300100000,12,65,0,FLORIDA,FL,3,3,13794000.0,1833000.0,8989000.0,2972000.0,13230000.0,12151000.0,6371000.0,5053000.0,727000.0,236000.0,810000.0,7873000.0,2108000.0
1304890,10503400100000,12,67,0,FLORIDA,FL,3,3,7180000.0,1089000.0,4470000.0,1621000.0,7216000.0,5919000.0,3017000.0,2552000.0,350000.0,129000.0,1150000.0,3705000.0,1117000.0
1304950,10503500100000,12,69,5960,FLORIDA,FL,3,2,176113000.0,12249000.0,90314000.0,73550000.0,213264000.0,144356000.0,82985000.0,53871000.0,7500000.0,5353000.0,57520000.0,90594000.0,29081000.0
1304980,10503600100000,12,71,2700,FLORIDA,FL,3,3,412253000.0,29827000.0,139568000.0,242858000.0,396389000.0,329508000.0,182846000.0,130523000.0,16139000.0,7385000.0,48122000.0,209587000.0,67080000.0
1305070,10503800100000,12,75,0,FLORIDA,FL,3,3,41656000.0,2995000.0,28243000.0,10418000.0,40536000.0,33378000.0,18719000.0,12760000.0,1899000.0,6000.0,6678000.0,20817000.0,6342000.0
1305130,10504000100000,12,79,0,FLORIDA,FL,3,3,25119000.0,3501000.0,17438000.0,4180000.0,23907000.0,19649000.0,11239000.0,7161000.0,1249000.0,155000.0,3925000.0,11248000.0,3486000.0
1305220,10504200100000,12,83,5790,FLORIDA,FL,3,3,264484000.0,21504000.0,158718000.0,84262000.0,228663000.0,201168000.0,117032000.0,71885000.0,12251000.0,2622000.0,19725000.0,128086000.0,39636000.0
1305250,10504300100000,12,85,2710,FLORIDA,FL,3,3,123072000.0,7454000.0,24124000.0,91494000.0,117519000.0,94060000.0,53792000.0,35713000.0,4555000.0,4090000.0,18919000.0,57440000.0,22951000.0
1305280,10504400100000,12,87,0,FLORIDA,FL,3,2,89038000.0,6923000.0,15446000.0,66669000.0,83760000.0,60743000.0,32393000.0,25355000.0,2995000.0,1442000.0,19951000.0,36518000.0,13333000.0
1305310,10504500100000,12,89,3600,FLORIDA,FL,3,3,69826000.0,3614000.0,40737000.0,25475000.0,63800000.0,52327000.0,30369000.0,18989000.0,2969000.0,370000.0,10859000.0,33348000.0,10307000.0
1305390,10504800100000,12,95,5960,FLORIDA,FL,3,2,969240000.0,58791000.0,423218000.0,487231000.0,957720000.0,766290000.0,420393000.0,307571000.0,38326000.0,35189000.0,134193000.0,488697000.0,146827000.0
1305430,10504900100000,12,97,5960,FLORIDA,FL,3,2,206446000.0,9649000.0,112659000.0,84138000.0,204835000.0,158047000.0,86814000.0,63634000.0,7599000.0,2198000.0,39249000.0,95803000.0,33738000.0
1305700,10505800100000,12,115,7510,FLORIDA,FL,3,2,292739000.0,13543000.0,62810000.0,216386000.0,282135000.0,222497000.0,132970000.0,79545000.0,9982000.0,8806000.0,45574000.0,148491000.0,47714000.0
1305850,10506000100000,12,119,0,FLORIDA,FL,3,3,41613000.0,3787000.0,28136000.0,9690000.0,36402000.0,32411000.0,17437000.0,12801000.0,2173000.0,171000.0,3139000.0,19846000.0,6431000.0
1500030,10506100100000,12,121,0,FLORIDA,FL,3,3,39400000.0,2950000.0,28223000.0,8227000.0,34637000.0,31051000.0,17678000.0,11586000.0,1787000.0,1572000.0,1779000.0,20167000.0,5866000.0
1600030,10506200100000,12,123,0,FLORIDA,FL,3,3,26318000.0,3769000.0,14987000.0,7562000.0,24988000.0,21701000.0,12328000.0,8122000.0,1251000.0,1387000.0,1900000.0,13968000.0,4112000.0
1600060,10506300100000,12,125,0,FLORIDA,FL,3,3,14141000.0,1079000.0,10826000.0,2236000.0,15609000.0,13002000.0,6994000.0,5315000.0,693000.0,556000.0,2030000.0,7897000.0,2513000.0
1600240,10506700100000,12,133,0,FLORIDA,FL,3,3,44360000.0,4023000.0,32718000.0,7619000.0,39671000.0,23642000.0,13167000.0,9286000.0,1189000.0,3729000.0,12259000.0,16469000.0,5200000.0
1600270,11514100300000,13,285,0,GEORGIA,GA,3,3,79632000.0,5676000.0,43724000.0,30232000.0,75536000.0,68920000.0,41872000.0,23186000.0,3862000.0,121000.0,5647000.0,46336000.0,12835000.0
1600300,11500100100000,13,1,0,GEORGIA,GA,3,3,23234000.0,2299000.0,11878000.0,9057000.0,23086000.0,21889000.0,13984000.0,6689000.0,1216000.0,0.0,1186000.0,14877000.0,3277000.0
1600330,11500200100000,13,3,0,GEORGIA,GA,3,3,9425000.0,1494000.0,6336000.0,1595000.0,8667000.0,8378000.0,5181000.0,2542000.0,655000.0,29000.0,236000.0,5432000.0,1516000.0
1600360,11506000100000,13,121,520,GEORGIA,GA,3,3,652552000.0,50802000.0,200552000.0,401198000.0,559053000.0,480961000.0,288342000.0,170006000.0,22613000.0,1631000.0,76461000.0,302423000.0,96476000.0
1600420,11500400100000,13,7,0,GEORGIA,GA,1,3,4470000.0,818000.0,1716000.0,1936000.0,4318000.0,3823000.0,2192000.0,1098000.0,533000.0,0.0,166000.0,2443000.0,549000.0
1600600,11501100100000,13,21,4680,GEORGIA,GA,3,3,157644000.0,17394000.0,86475000.0,53775000.0,171665000.0,150840000.0,93373000.0,46574000.0,10893000.0,1277000.0,14884000.0,102836000.0,28380000.0
1600630,11501200100000,13,23,0,GEORGIA,GA,3,3,14734000.0,1363000.0,10204000.0,3167000.0,14865000.0,13067000.0,8302000.0,3790000.0,975000.0,26000.0,1673000.0,9197000.0,2084000.0
1600660,11501300100000,13,25,0,GEORGIA,GA,3,3,18398000.0,1775000.0,12930000.0,3693000.0,18487000.0,15965000.0,10022000.0,4860000.0,1083000.0,0.0,2303000.0,10838000.0,2476000.0
1600723,11501500100000,13,29,7520,GEORGIA,GA,3,3,31050000.0,2308000.0,17958000.0,10784000.0,31283000.0,27443000.0,17137000.0,8468000.0,1838000.0,501000.0,2945000.0,18313000.0,4353000.0
1600750,11506700100000,13,135,520,GEORGIA,GA,3,3,13805000.0,1078000.0,7070000.0,5657000.0,14201000.0,13894000.0,8479000.0,4711000.0,704000.0,0.0,255000.0,9108000.0,2660000.0
1600780,11501600100000,13,31,0,GEORGIA,GA,3,3,61474000.0,4103000.0,38748000.0,18623000.0,72302000.0,49366000.0,30880000.0,15217000.0,3269000.0,0.0,21839000.0,33825000.0,7746000.0
1600810,11501700100000,13,33,0,GEORGIA,GA,3,3,33977000.0,3548000.0,9543000.0,20886000.0,32727000.0,29132000.0,17043000.0,10313000.0,1776000.0,84000.0,3484000.0,18983000.0,5419000.0
1600870,11501900100000,13,37,0,GEORGIA,GA,3,3,6093000.0,941000.0,3878000.0,1274000.0,6428000.0,6193000.0,3497000.0,2362000.0,334000.0,0.0,235000.0,3908000.0,1109000.0
1600900,11502000100000,13,39,0,GEORGIA,GA,3,3,60822000.0,7596000.0,36006000.0,17220000.0,60195000.0,50907000.0,30080000.0,17746000.0,3081000.0,396000.0,7494000.0,35762000.0,7949000.0
1600930,11502100100000,13,43,0,GEORGIA,GA,3,3,12372000.0,1243000.0,7929000.0,3200000.0,12163000.0,10710000.0,6760000.0,3109000.0,841000.0,1000.0,1152000.0,6765000.0,1951000.0
1600960,11502200100000,13,45,520,GEORGIA,GA,3,3,81486000.0,5400000.0,49274000.0,26812000.0,83218000.0,71858000.0,44714000.0,23066000.0,4078000.0,606000.0,10225000.0,48770000.0,13677000.0
1601020,11502200200000,13,45,520,GEORGIA,GA,3,3,24302000.0,1876000.0,13781000.0,8645000.0,25143000.0,21626000.0,13281000.0,7049000.0,1296000.0,0.0,3434000.0,13979000.0,4099000.0
1601050,11500800200000,13,15,520,GEORGIA,GA,3,1,24226000.0,1560000.0,8879000.0,13787000.0,23358000.0,20082000.0,12310000.0,6617000.0,1155000.0,129000.0,3139000.0,13160000.0,4071000.0
1601080,11502300100000,13,47,1560,GEORGIA,GA,3,3,55713000.0,2971000.0,33535000.0,19207000.0,56722000.0,48447000.0,30788000.0,14734000.0,2925000.0,12000.0,8240000.0,32491000.0,9709000.0
1601110,11502400100000,13,49,0,GEORGIA,GA,3,3,13260000.0,1216000.0,8306000.0,3738000.0,13672000.0,10935000.0,6442000.0,3772000.0,721000.0,26000.0,2462000.0,7123000.0,2033000.0
1601170,11502600100000,13,53,1800,GEORGIA,GA,1,3,5000000.0,693000.0,3535000.0,772000.0,5156000.0,3423000.0,2139000.0,1106000.0,178000.0,3000.0,1646000.0,2333000.0,508000.0
1601200,11502700100000,13,55,0,GEORGIA,GA,3,3,23236000.0,1839000.0,11706000.0,9691000.0,18432000.0,17903000.0,11296000.0,5461000.0,1146000.0,70000.0,452000.0,11883000.0,3455000.0
1601230,11502800200000,13,57,520,GEORGIA,GA,3,3,181410000.0,4751000.0,89485000.0,87174000.0,169055000.0,139035000.0,88164000.0,40923000.0,9948000.0,0.0,23488000.0,95000000.0,27692000.0
